tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,2309539-77.2023.8.26.0000,1032,RECURSO ESPECIAL,10945.0,03/09/2024,Eletronico,12728,Baixado,30/05/2024,,,10945.0,Expurgos Inflacionarios / Planos Economicos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,5,5026306-72.2023.8.24.0000,11881,AGRAVO EM RECURSO ESPECIAL,10945.0,14/05/2024,Eletronico,12728,Baixado,08/03/2024,,,10945.0,Expurgos Inflacionarios / Planos Economicos
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0015226-69.2023.8.25.0001,11881,AGRAVO EM RECURSO ESPECIAL,10875.0,10/09/2024,Eletronico,12728,Baixado,28/06/2024,,,10875.0,Base de Calculo
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5006563-36.2020.8.13.0114,11881,AGRAVO EM RECURSO ESPECIAL,12468.0,05/08/2024,Eletronico,12728,Baixado,31/03/2024,,,12468.0,Barragem em Brumadinho
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,5006563-36.2020.8.13.0114,11881,AGRAVO EM RECURSO ESPECIAL,10433.0,05/08/2024,Eletronico,12728,Baixado,31/03/2024,,,10433.0,Indenizacao por Dano Moral
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,0002071-61.2022.8.27.2722,11881,AGRAVO EM RECURSO ESPECIAL,10029.0,06/09/2024,Eletronico,12728,Baixado,05/04/2024,,,10029.0,Ensino Superior
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,1537959-54.2020.8.26.0090,11881,AGRAVO EM RECURSO ESPECIAL,5952.0,17/09/2024,Eletronico,12728,Baixado,22/04/2024,,,5952.0,IPTU/ Imposto Predial e Territorial Urbano
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0016334-43.2021.8.17.2001,11881,AGRAVO EM RECURSO ESPECIAL,4703.0,02/08/2024,Eletronico,12728,Baixado,26/04/2024,,,4703.0,"Defeito, nulidade ou anulacao"
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,9,2231891-21.2023.8.26.0000,11881,AGRAVO EM RECURSO ESPECIAL,10706.0,19/09/2024,Eletronico,12728,Baixado,23/04/2024,,,10706.0,Gratificacoes Municipais Especificas
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0800672-02.2021.4.05.8200,1032,RECURSO ESPECIAL,5994.0,23/08/2024,Eletronico,12728,Baixado,01/03/2024,,,5994.0,Compensacao
STJ,SUP,SUPERIOR TRIBUNAL DE JUSTICA,2024,8,0800672-02.2021.4.05.8200,1032,RECURSO ESPECIAL,6063.0,23/08/2024,Eletronico,12728,Baixado,01/03/2024,,,6063.0,Auxilio-Alimentacao
