tribunal,grau,nome_orgao,ano,mes,processo,codigo_da_ultima_classe,nome_da_ultima_classe,codigos_assuntos,data_de_referencia,formato,codigo_orgao,status,data_de_inicio,data_da_ultima_movimentacao,dias_de_antiguidade,codigo,descricao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7000538-63.2023.7.00.0000,417,APELACAO CRIMINAL,11071,2024-09-03,Eletronico,82294,Baixado,2023-07-05,,,11071,Crime Tentado
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,2,7000515-20.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11101,2024-02-06,Eletronico,82294,Baixado,2023-06-27,,,11101,Indulto
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,2,7000515-20.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11207,2024-02-06,Eletronico,82294,Baixado,2023-06-27,,,11207,"Trafico, posse ou uso de entorpecente ou substancia de efeito similar"
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000621-79.2023.7.00.0000,417,APELACAO CRIMINAL,12401,2024-06-10,Eletronico,82294,Baixado,2023-08-04,,,12401,Nulidade - Ausencia de Fundamentacao de Decisao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000621-79.2023.7.00.0000,417,APELACAO CRIMINAL,10865,2024-06-10,Eletronico,82294,Baixado,2023-08-04,,,10865,Cerceamento de Defesa
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000621-79.2023.7.00.0000,417,APELACAO CRIMINAL,10940,2024-06-10,Eletronico,82294,Baixado,2023-08-04,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,6,7000621-79.2023.7.00.0000,417,APELACAO CRIMINAL,12397,2024-06-10,Eletronico,82294,Baixado,2023-08-04,,,12397,Importunacao Sexual
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000730-93.2023.7.00.0000,417,APELACAO CRIMINAL,11329,2024-03-05,Eletronico,82294,Baixado,2023-09-06,,,11329,Desobediencia
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000730-93.2023.7.00.0000,417,APELACAO CRIMINAL,11330,2024-03-05,Eletronico,82294,Baixado,2023-09-06,,,11330,Ingresso clandestino
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000730-93.2023.7.00.0000,417,APELACAO CRIMINAL,11107,2024-03-05,Eletronico,82294,Baixado,2023-09-06,,,11107,Estado de Necessidade exculpante
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000730-93.2023.7.00.0000,417,APELACAO CRIMINAL,11325,2024-03-05,Eletronico,82294,Baixado,2023-09-06,,,11325,Uso de documento pessoal alheio
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000730-93.2023.7.00.0000,417,APELACAO CRIMINAL,11327,2024-03-05,Eletronico,82294,Baixado,2023-09-06,,,11327,Desacato a militar
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,11,7000599-21.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-11-06,Eletronico,82294,Baixado,2023-07-27,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,11,7000599-21.2023.7.00.0000,417,APELACAO CRIMINAL,11321,2024-11-06,Eletronico,82294,Baixado,2023-07-27,,,11321,Falsidade ideologica
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000554-51.2022.7.00.0000,417,APELACAO CRIMINAL,10952,2024-04-03,Eletronico,82294,Baixado,2022-08-19,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000554-51.2022.7.00.0000,417,APELACAO CRIMINAL,11106,2024-04-03,Eletronico,82294,Baixado,2022-08-19,,,11106,Estado de Necessidade
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000554-51.2022.7.00.0000,417,APELACAO CRIMINAL,11127,2024-04-03,Eletronico,82294,Baixado,2022-08-19,,,11127,Desercao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000554-51.2022.7.00.0000,417,APELACAO CRIMINAL,8919,2024-04-03,Eletronico,82294,Baixado,2022-08-19,,,8919,Nulidade
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000687-59.2023.7.00.0000,417,APELACAO CRIMINAL,10641,2024-08-26,Eletronico,82294,Baixado,2023-08-25,,,10641,Penas do Codigo Penal Militar
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000687-59.2023.7.00.0000,417,APELACAO CRIMINAL,11167,2024-08-26,Eletronico,82294,Baixado,2023-08-25,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000748-17.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11260,2024-04-30,Eletronico,82294,Baixado,2023-09-13,,,11260,Violacao de recato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7000748-17.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11101,2024-04-30,Eletronico,82294,Baixado,2023-09-13,,,11101,Indulto
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000683-22.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11367,2024-08-09,Eletronico,82294,Baixado,2023-08-23,,,11367,Falso testemunho ou falsa pericia
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000683-22.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,4371,2024-08-09,Eletronico,82294,Baixado,2023-08-23,,,4371,Rejeicao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000764-68.2023.7.00.0000,417,APELACAO CRIMINAL,10641,2024-08-19,Eletronico,82294,Baixado,2023-09-18,,,10641,Penas do Codigo Penal Militar
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,8,7000764-68.2023.7.00.0000,417,APELACAO CRIMINAL,11167,2024-08-19,Eletronico,82294,Baixado,2023-09-18,,,11167,Estelionato
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000841-77.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-03-25,Eletronico,82294,Baixado,2023-10-17,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,3,7000841-77.2023.7.00.0000,417,APELACAO CRIMINAL,3642,2024-03-25,Eletronico,82294,Baixado,2023-10-17,,,3642,Crimes da Lei de licitacoes
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000860-83.2023.7.00.0000,427,REMESSA NECESSARIA CRIMINAL,11104,2024-05-08,Eletronico,82294,Baixado,2023-10-24,,,11104,Reabilitacao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000860-83.2023.7.00.0000,427,REMESSA NECESSARIA CRIMINAL,11135,2024-05-08,Eletronico,82294,Baixado,2023-10-24,,,11135,Abandono de posto
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000886-81.2023.7.00.0000,417,APELACAO CRIMINAL,10641,2024-05-29,Eletronico,82294,Baixado,2023-10-30,,,10641,Penas do Codigo Penal Militar
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000886-81.2023.7.00.0000,417,APELACAO CRIMINAL,10940,2024-05-29,Eletronico,82294,Baixado,2023-10-30,,,10940,Depoimento
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000886-81.2023.7.00.0000,417,APELACAO CRIMINAL,11317,2024-05-29,Eletronico,82294,Baixado,2023-10-30,,,11317,Peculato-furto
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000886-81.2023.7.00.0000,417,APELACAO CRIMINAL,10935,2024-05-29,Eletronico,82294,Baixado,2023-10-30,,,10935,Desclassificacao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000886-81.2023.7.00.0000,417,APELACAO CRIMINAL,11087,2024-05-29,Eletronico,82294,Baixado,2023-10-30,,,11087,Suspensao Condicional da Pena
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,10641,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,10641,Penas do Codigo Penal Militar
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,11138,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,11138,Embriaguez em servico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,11207,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,11207,"Trafico, posse ou uso de entorpecente ou substancia de efeito similar"
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,10935,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,10935,Desclassificacao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,10952,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,10952,Fato Atipico
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,10523,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,10523,Despenalizacao / Descriminalizacao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,9,7001006-27.2023.7.00.0000,417,APELACAO CRIMINAL,11115,2024-09-18,Eletronico,82294,Baixado,2023-12-11,,,11115,Substituicao da Pena
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7001036-62.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,11352,2024-04-26,Eletronico,82294,Baixado,2023-12-18,,,11352,Corrupcao ativa
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,4,7001036-62.2023.7.00.0000,426,RECURSO EM SENTIDO ESTRITO,4371,2024-04-26,Eletronico,82294,Baixado,2023-12-18,,,4371,Rejeicao
STM,SUP,GABINETE DO MINISTRO CARLOS AUGUSTO AMARAL OLIVEIRA,2024,5,7000998-50.2023.7.00.0000,427,REMESSA NECESSARIA CRIMINAL,11104,2024-05-21,Eletronico,82294,Baixado,2023-12-06,,,11104,Reabilitacao
